bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
"খন তোমার একা লাগবে, তুমি চারদিকে কিছুই দেখতে পাবে না","ekhon tomar eka lagbe, tumi chardike kichui dekhte pabe na","এহন তোয়াত্তুন গাআগাই লাগিবো , তুঁই চাইরোমিক্কা কিচু ন দেকিবা","ehon toyattun gaagai lagibo , tui cairomikka kicu no dekiba",Chittagong,"When you are alone, you will not see anything around you"
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,aj single bole karo jonno hat katte pari na,আয সিঙ্গেল বলি হনিকার লাই আত হডিত ন ফারির,aj single boli honikar lai at hodit no farir,Chittagong,Today I can't cut my hand for someone who is single
সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায়  আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়,cinemay biyer por golpo shesh hoye jay ar bastob jibone biyer por e cinema shuru hoy,"চিনেমাত বিয়ার ফর গল্ফ শেষ অই য গই, আর বাস্তবত বিয়ার ফর চিনেমা শুরু অই","cinemat biyar for golfo shesh oi jo goi, ar bastobot biyar for cinema shuru oi",Chittagong,In movies the story ends after the marriage and in real life the movie starts after the marriage
"আজ গরিব বলে পৃথিবীতে থাকি,বড়লোক হলে মঙ্গল গ্রহে থাকতাম","aj gorib bole prithibite thaki, borolok hole mongol grohe thaktam","আয গরিব বলি পিতিবিত তাকি , ডরমানুষ অইলে মঙগল গ্রহত তাকিতাম","aj gorib boli pitibit taki , dormanush oile mongol grohot takoitam",Chittagong,"Today I live on earth as a poor person, if I were rich I would live on Mars"
একমাত্র মেয়েরাই পারে অবলা ছেলেদের সহজ সরল মনটা কে ফুটবল ভেবে খেলা করতে,ekmatro meyerai pare obola cheleder sohoj sorol monta ke football vebe khela korte,একমাত্র মাইফোয়াঅক্কল ফারে সহজ সরলব ফোয়াওক্কলর মন নান এরে ফুটবল টা আরি কেলা হাইতো,ekmatro maifoyaokkol fare sohoj sorolob foyaokkolor mon nan ere football ta ari kela haito,Chittagong,Only girls can fool the simple minds of boys and play football
মাঝে মাঝে মন চায় থেমে থাকা গাড়ির নিচে পরে মরে যাই,majhe majhe mon chay theme thaka garir niche pore more jai,মাজে মাজে মন হঅয়তিয়াই তাইক্কেদে ইল্লা গারিত তলে ফরি মরি যাইগোই,maje maje mon hoytiyai taikkede illa garit tole fori mori jaigoi,Chittagong,Sometimes I want to die under a stopped car
"বউকে ভালোবাসতে শিখুন, কিন্তু কার বউ সেটা দেখার বিষয় না","bouke valobashte shikhun, kintu kar bou seta dekhar bishoy na","বউ অরে বালবাইসতে শিকঅন ,কিন্তু হার বউ ইয়ান দেহার বিষয় নয়","bou ore balobaiste shikon ,kintu har bou iyan dehar bishoy noy",Chittagong,"Learn to love your wife, but not whose wife it is"
একবার ধরলে হাত ছাড়বেনা কখনো রোগা পাতলা মেয়ে গুলোকে দেখে মনে হয় ভিটামিনের বোতল কিনে দিই,ekbar dhorle hat charbena kokhono roga patla meye guloke dekhe mone hoy vitaminer bottle kine dei,এব্বার দইরলে আত ন চারিবা হনো সময় লেডা মাইফোয়া ওক্কলেরে দেইলে মনো অয় বিটামিন অর বতল কিনি দি,ebbar doirle at no cariba hono somoy leda maifoya okklere deile mono oy bitamin or botol kini di,Chittagong,"Once you get hold of it, you will never let go of it. Sometimes, looking at thin girls, I think I buy a bottle of vitamins"
স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেছি তার পর যা হলো সব ইতিহাস,sopno dekhlam crasher sathe ghurte gechi tar por ja holo sob itihas,সফ্নঅত দেইলাম ক্রাশর ফোয়ারে গুইরত গেয়্যি তারফর যা অয়্যে ইয়ান ইতিহাস,sofnot deilam crush or foyare guirot geyie tarfor ja oiye iyan itihas,Chittagong,I had a dream that I went on a tour with my crush and everything that happened after that is history
"যখন ভাবি তুমি ছাড়া আমার জীবনটা অন্ধকার, ঠিক তখনই কারেন্ট চলে আসে","jokhon vabi tumi chara amar jibonta ondhokar, thik tokhoni current chole ase",যেত্তে বাবি তুঁই চারা আঁর জিবন নান আঁন্দার টিক এ সময় অত কা আরন আ যাগই,jette babi tui cara ar jibon nan andar tik e somoy oto ka aron aa jagoi,Chittagong,"Just when I think my life is dark without you, the current comes"
"বউ হারালে বউ পাওয়া যায়, কিন্তু বন্ধুকে টাকা দিলে সেটা আর ফেরত পাওয়া যায় না","bou harale bou paoya jay, kintu bondhuke taka dile seta ar ferot paoya jay na","বউ আঁযিলে বউ ফা যাই, কিন্তু বন্দুরে টিয়া দিলে আর ফেরত ফা ন যাই","bou ajile bou fa jai, kintu bondure tiya dile ar ferot fa no jai",Chittagong,"If you lose a wife, you get a wife, but if you give money to a friend, you can't get it back"
"চুল পরার সমস্যা  নিয়ে ডাক্তারের কাছে গেছিলাম, গিয়ে দেখি ডাক্তার নিজেই টাক","chul porar somossa niye doctorer kache gechilam, giye dekhi doctor nijei tak","চুল ফরার সমইস্যা লই ডাক্তরর এডে গেইলাম, যাই এরে দেই ডাক্তর নিজেই টাক","chul forar somoissa loi daktoror ede geilam, jai ere dei daktor nijei tak",Chittagong,"I went to the doctor with the problem of hair loss, I went and saw that the doctor himself was bald"
"ভালো মানুষ নাকি বেশি দিন বাঁচে না, এটা শোনার পর খুব টেনশনে আছি","valo manush naki beshi din bace na, eta shonar por khub tension e achi",বালা মানুষ নাকি বেশিদিন ন বাচে ইয়ান ফুনি টেনশন অত আচি,bala manush naki beshidin no bace iyan funi tension oto aci,Chittagong,I am very tensed after hearing that good people don't live long
তোকে ভুলে যাওয়ার জন্য আমি ভালোবাসিনি,toke vule jaoyar jonno ami valobashini,তুরে বুলি যাইবর লাই আঁই বাল ন বাসি,ture buli jaibor lai ai bal no basi,Chittagong,I didn't love you to forget you
"নিজেকে কখনো বেকার ভাববেন না, মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে","nijeke kokhono bekar vabben na, mone rakhben apnar shorirer rokto diye hajaro moshar songsar cole",নিযেরে হনিকাই বেকার ন বাইব্বন মন অত রাইবান শরিরর রক্ত দি আযারও মশার সংসার চলে,nijere honikai bekar no baibbon mon oto raiban shoriror rokto di ajaro moshar songsar cole,Chittagong,"Never think of yourself as unemployed, remember that the blood of your body feeds thousands of mosquitoes"
