bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
সিনেমায় বিয়ের পর গল্প শেষ হয়ে যায়  আর বাস্তব জীবনে বিয়ের পরই সিনেমা শুরু হয়,cinemay biyer por golpo shesh hoye jay ar bastob jibone biyer por e cinema shuru hoy,সিনেমাত বিয়ার পর গল্প শেষ অই যায় আর বাস্তব জীবনো বিয়ার পর অউ সিনেমা শুরু অয়,cinemat biyar por golpo shesh oi jay ar bastob jibno biyar por ou cinema shuru oy,Sylhet,In movies the story ends after the marriage and in real life the movie starts after the marriage
"আজ গরিব বলে পৃথিবীতে থাকি,বড়লোক হলে মঙ্গল গ্রহে থাকতাম","aj gorib bole prithibite thaki, borolok hole mongol grohe thaktam"," আজকে গরীব দেকিয়া পৃথিবীত থাকিয়ার, ধনী অইলে মঙ্গল গ্রহত থাকতাম","ajke gorib dekiya prithibit thakiyar, dhoni oile monggol grohot thaktam",Sylhet,"Today I live on earth as a poor person, if I were rich I would live on Mars"
একমাত্র মেয়েরাই পারে অবলা ছেলেদের সহজ সরল মনটা কে ফুটবল ভেবে খেলা করতে,ekmatro meyerai pare obola cheleder sohoj sorol monta ke football vebe khela korte, খালি ফুড়িন্তেউ পারইন বেচারা ফুয়াইন্তর সরল মনরে ফুটবল ভাবিয়া খেলতা,khali furinteu parin bechara fuyaintor sorol monre football vabiya khelta,Sylhet,Only girls can fool the simple minds of boys and play football
মাঝে মাঝে মন চায় থেমে থাকা গাড়ির নিচে পরে মরে যাই,majhe majhe mon chay theme thaka garir niche pore more jai,মাঝে মাঝে মনে কয় থামিয়া থাকা গাড়ির চাক্কার তলে পড়িয়া মরি যাই,majhe majhe mone koy thamiya thaka garir chakkar tole poriya mori jai,Sylhet,Sometimes I want to die under a stopped car
"বউকে ভালোবাসতে শিখুন, কিন্তু কার বউ সেটা দেখার বিষয় না","bouke valobashte shikhun, kintu kar bou seta dekhar bishoy na","বউরে ভালোবাসা হিকইন, কিন্তু কার বউ হিকটা দেখার দরকার নায়","boure valobasha hikin, kintu kar bou hikta dekhar dorkar nay",Sylhet,"Learn to love your wife, but not whose wife it is"
একবার ধরলে হাত ছাড়বেনা কখনো রোগা পাতলা মেয়ে গুলোকে দেখে মনে হয় ভিটামিনের বোতল কিনে দিই,ekbar dhorle hat charbena kokhono roga patla meye guloke dekhe mone hoy vitaminer bottle kine dei, এখবার ধরিলাইলে হাত ছাড়তা না কুনোসময় বেমারি হুকনা ফুড়িন্তরে দেকিয়া মনে কয় ভিটামিনর বুতল কিনিয়া দিলাই,ekhbar dhorilaile hat charta na kunosomoy bemari hukna furintore dekiya mone koy vitaminor butol kiniya dilai,Sylhet,"Once you get hold of it, you will never let go of it. Sometimes, looking at thin girls, I think I buy a bottle of vitamins"
স্বপ্ন দেখলাম ক্রাশের সাথে ঘুরতে গেছি তার পর যা হলো সব ইতিহাস,sopno dekhlam crasher sathe ghurte gechi tar por ja holo sob itihas, সফনত দেখলাম ক্রাশর লগে পাখানিত গেছি এর বাদে যা অইলো ইতা সব ইতিহাস,sofonot dekhlam crusher loge pakhanit gechi er bade ja oilo ita sob itihas,Sylhet,I had a dream that I went on a tour with my crush and everything that happened after that is history
"যখন ভাবি তুমি ছাড়া আমার জীবনটা অন্ধকার, ঠিক তখনই কারেন্ট চলে আসে","jokhon vabi tumi chara amar jibonta ondhokar, thik tokhoni current chole ase",যেব্‌লাকু ভাবি তুমি ছাড়া আমার জিন্দেগি আইন্দাইর ঠিক হ সময় অউ কারেন্ট আই অয়,jeb‌laku vabi tumi chara amar jindegi aindair thik ho somoy ou current ai oy,Sylhet,"Just when I think my life is dark without you, the current comes"
"বউ হারালে বউ পাওয়া যায়, কিন্তু বন্ধুকে টাকা দিলে সেটা আর ফেরত পাওয়া যায় না","bou harale bou paoya jay, kintu bondhuke taka dile seta ar ferot paoya jay na",বউ আরাইলে বউ পাওয়া যায় কিন্তু বন্ধুরে টেখা দিলে ইতা আর ফিরত পাওয়া যায় না ,bou araile bou paoya jay kintu bondhure tekha dile ita ar firot paoya jay na ,Sylhet,"If you lose a wife, you get a wife, but if you give money to a friend, you can't get it back"
"চুল পরার সমস্যা  নিয়ে ডাক্তারের কাছে গেছিলাম, গিয়ে দেখি ডাক্তার নিজেই টাক","chul porar somossa niye doctorer kache gechilam, giye dekhi doctor nijei tak","চুল পরার সমস্যা লইয়া ডাখতরর ধারে গেছলাম, গিয়া দেখি ডাখতর নিজেউ টাখলা","chul porar somossa loiya dakhtoror dhare gechlam, giya dekhi dakhtor nijeu takhla",Sylhet,"I went to the doctor with the problem of hair loss, I went and saw that the doctor himself was bald"
"ভালো মানুষ নাকি বেশি দিন বাঁচে না, এটা শোনার পর খুব টেনশনে আছি","valo manush naki beshi din bace na, eta shonar por khub tension e achi","ভালা মানুষ বুলে বেশিদিন বাছইন না, ইতা হুনার পর খুব টেনশনে আছি","vala manush bule beshidin bachin na, ita hunar por khub tension e achi",Sylhet,I am very tensed after hearing that good people don't live long
তোকে ভুলে যাওয়ার জন্য আমি ভালোবাসিনি,toke vule jaoyar jonno ami valobashini,তরে ভুলি যাওয়ার লাগি মুই তরে ভালাপাইছলাম না,tore vuli jaoyar lagi mui tore valapaichlam na,Sylhet,I didn't love you to forget you
"নিজেকে কখনো বেকার ভাববেন না, মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে","nijeke kokhono bekar vabben na, mone rakhben apnar shorirer rokto diye hajaro moshar songsar cole"," নিজোরে কুনোসময় বাওটা ভাববা না, মনো রাখবা আফনার শরীলর রখতো দিয়া হাজার মশার সংসার চলের","nijore kunosomoy baota vabba na, mono rakhba afnar shorilor rokhto diya hajar moshar songsar choler",Sylhet,"Never think of yourself as unemployed, remember that the blood of your body feeds thousands of mosquitoes"
বাবু খেয়েছো বলার মানুষটা নেই বলে আজ আমি এতো রোগা,babu kheyecho bolar manushta nei bole aj ami eto roga,বাবু খাইছোনি জিকানির মানুষগুতা নাই করু আমি এখনো এতো হুকনা,babu khaichoni jikanir manushguta nai koru ami ekhono eto hukna,Sylhet,I am so skinny today because there is no one to tell me if you have eaten baby
